source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
7,Quân sự chung,fierce,/fɪəs/,tt.,2,ác liệt,0,"Genuine images of the fierce wars that have occured in Israel, Vietnam, Cambodia, Iran and Lebanon were screened at L’Espace (24 Trang Tien, Hanoi).","Những hình ảnh chân thực về các cuộc chiến tranh ác liệt từng xảy ra ở Israel, Việt Nam, Campuchia, Iran và Lebanon được trình chiếu tại L’Espace (24 Tràng Tiền, Hà Nội).",,1
7,Quân sự chung,violent,/ˈvaɪələnt/,tt.,2,ác liệt,0,"Genuine images of the fierce wars that have occured in Israel, Vietnam, Cambodia, Iran and Lebanon were screened at L’Espace (24 Trang Tien, Hanoi).","Những hình ảnh chân thực về các cuộc chiến tranh ác liệt từng xảy ra ở Israel, Việt Nam, Campuchia, Iran và Lebanon được trình chiếu tại L’Espace (24 Tràng Tiền, Hà Nội).",,1
7,Quân sự chung,maritime security,/ˈmærɪtaɪm/ /sɪˈkjʊərəti/,dt.,0,an ninh hàng hải,0,Maritime security is a general term for the protection of vessels both internally and externally.,An ninh hàng hải là một thuật ngữ chung dùng để chỉ việc bảo vệ tàu thuyền cả bên trong và bên ngoài.,,1
7,Quân sự chung,maritime safety,/ˈmærɪtaɪm/ /ˈseɪfti/,dt.,0,an toàn hàng hải,0,"Vietnam and regional countries should closely cooperate to settle maritime safety issues, oceanic environmental protection, and cooperation in search and rescue.","Việt Nam và các nước trong khu vực cần hợp tác chặt chẽ để giải quyết các vấn đề an toàn hàng hải, bảo vệ môi trường biển và hợp tác tìm kiếm cứu nạn.",,1
7,Quân sự chung,hero,/ˈhɪərəʊ/,dt.,0,anh hùng,0,Nguyen Van Bay is a Hero of the People's Armed Forces and a senior officer of the Vietnam People's Air Force.,"Nguyễn Văn Bảy là Anh hùng lực lượng vũ trang nhân dân, sĩ quan cao cấp của lực lượng Không quân Nhân dân Việt Nam.",,1
7,Quân sự chung,life vest,/laɪf/ /vest/,dt.,0,áo phao,0,A life jacket or a life vest is a flotation device in the form of a vest or suit that is worn by a user to prevent him/her  from drowning in a body of water.,Áo phao là một thiết bị nổi ở dạng áo vest hoặc bộ đồ được người dùng mặc để không bị chết đuối trong vùng nước.,assets/images/words/life_vest_p7.png,1
7,Quân sự chung,life jacket,/laɪf/ /ˈʤækɪt/,dt.,0,áo phao,0,A life jacket or a life vest is a flotation device in the form of a vest or suit that is worn by a user to prevent him/her  from drowning in a body of water.,Áo phao là một thiết bị nổi ở dạng áo vest hoặc bộ đồ được người dùng mặc để không bị chết đuối trong vùng nước.,assets/images/words/life_vest_p7.png,1
7,Quân sự chung,division,/dɪˈvɪʒn/,dt,0,ban,0,The Department of Political Affairs of the Naval Academy consists of 3 divisions.,Phòng Chính trị của Học viện Hải quân gồm 3 ban.,,1
8,Quân sự chung,political propaganda division,/pəˈlɪtɪkl/ /ˏprɒpəˈɡændə/ /dɪˈvɪʒn/,,,ban tuyên huấn,1,,,,1
8,Quân sự chung,,,dt,0,bản lĩnh chính trị vững vàng,0,,,,1
8,Quân sự chung,,,tt,2,bán quân sự,0,,,,1
8,Quân sự chung,raft,/rɑːft/,dt.,0,bè,0,,,assets/images/words/raft_p8.png,1
8,Quân sự chung,life raft,/laɪf/ /rɑ:ft/,dt.,0,bè cứu sinh,0,"A life raft is a small, rigid, or inflatable boat carried for emergency evacuation in the event of a disaster aboard a ship. Bè cứu sinh","Bè cứu sinh là một chiếc thuyền nhỏ, cứng hoặc bơm hơi được dùng để sơ tán khẩn cấp trong trường hợp xảy ra thảm họa trên tàu.",assets/images/words/life_raft_p8.png,1
9,Quân sự chung,,,,,bia (xem mục tiêu),0,,,,1
9,Quân sự chung,,,dt,0,biển,0,,,,1
9,Quân sự chung,to assign,/tə/ /əˈsaɪn/,đt,1,biên chế,0,Ship 016 Quang Trung was assigned to Brigade 162 (the most modern surface combat ship unit of the Vietnam Navy) in early 2018.,Tàu 016 Quang Trung được biên chế cho Lữ đoàn 162 (đơn vị tàu chiến đấu mặt nước hiện đại nhất của Quân chủng Hải quân Việt Nam) hồi đầu năm 2018.,,1
9,Quân sự chung,flotilla,/fləˈtɪlə/,dt,0,biên đội,0,The flotilla of frigates is maneuvering from position A to position B,Biên đội tàu hộ vệ tên lửa đang cơ động từ vị trí A tới vị trí B.,,1
