source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
764,Military Dictionary,M,,n,N,chỉ số M,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,M day,,n,N,ngày bắt đầu động viên,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,M-day force,,n,N,lực lượng sẵn sàng động viên,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M-day materiel assets,,n,N,số lượng trang bị kỹ thuật chiến đấu hiện có trong ngày động viên,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M-day materiel-requirement,,n,N,nguồn dự trữ động viên,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M-day mobile ground forces,,n,N,lực lượng cơ động mặt đất ở trạng thái sẵn sàng động viên kịp thời,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M number,,n,N,chỉ số M,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M-1 pencil,,n,N,bút chì (để) đánh dấu điểm chạm trên bia,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,M-store,,n,N,kho dự trữ động viên; nguồn dự trữ động viên,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,Mac,,n,N,mác (cách gọi thân mật đối với chiến sĩ),FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,MacMahon Act,,n,N,luật Macmagơn (về kiểm tra vũ khí hạt nhân của Mỹ đối với quân đồng minh),FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,mace of war,,n,N,(sử) côn; chùy; (bóng) sức mạnh quân sự,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,Mạch,,n,N,chỉ số M (Mach); siêu âm,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,Mach buster,,n,N,(kh.ngữ) máy bay siêu âm,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,Mach front,,n,N,mặt trước của sóng xung kích siêu âm,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,Mach number,,n,N,chỉ số max; chỉ số M,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,Mach stem,,n,N,sóng xung kích (khi nổ hạt nhân trên không),TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,Mach wave,,n,N,sóng xung kích siêu âm,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machete,,n,N,dao (dùng làm vũ khí); dao rựa,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,machete crew,,n,N,đội mở đường trong rừng nhiệt đới,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine,,n,N,máy; máy móc; bộ máy,FALSE,,,img_764.jpg,FALSE
764,Military Dictionary,machine account,,n,N,sự tính toán bằng máy tính,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine accountant,,n,N,chuyên gia tính toán bằng máy tính,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine bakery,,n,N,lò nướng bánh mỳ được cơ giới hóa,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine cannon,,n,N,súng máy cỡ lớn; pháo nòng dài tự động cỡ nhỏ,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine carbine,,n,N,súng tiểu liên; súng cacbin; trung liên; súng ngắn liên thanh,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine collation unit,,n,N,thiết bị đối chiếu thông tin,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine gun,,n,N,súng đại liên; súng liên thanh; bắn súng máy; bắn súng liên thanh; (thuộc) súng máy,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine gun barrage,,n,N,hỏa lực súng máy bắn chận; hàng rào hỏa lực (của) súng đại liên,TRUE,,,img_764.jpg,FALSE
764,Military Dictionary,machine gun belt,,n,N,băng đạn liên thanh,TRUE,,,img_764.jpg,FALSE
